gold_label,sentence1_jeju,sentence2_jeju,ai_answer,result
entailment,"ÀÀ±Þ½Ç¼­ ÃÊ±â »ýÃ¼Â¡ÈÄ Àçº» °á°ú, Ã¼¿Â 98.9µµ, ½É¹Ú¼ö 73È¸, Ç÷¾Ð 121/90, È£Èí¼ö 15È¸, ½Ç³»°ø±â ¼û ½¬¸Û Àé »ê¼ÒÆ÷È­µµ´Â 98%·Î ³ª¿Ô¼ö´Ù.",È¯ÀÚÀÇ Ç÷¿ªÇÐÀû »óÅÂ´Â ¾ÈÀú·Õ ÇÏ¿ì´Ù.,,
contradiction,"ÀÀ±Þ½Ç¼­ ¸ÇÃ³À½ Àçº» »ýÃ¼½ÅÈ£´Â Ã¼¿Â 98.9µµ, ½É¹Ú¼ö 73È¸, Ç÷¾Ð 121/90, È£Èí¼ö 15È¸, ·ë¿¡¾î »óÅÂ¼­ »ê¼ÒÆ÷È­µµ 98%¿´¼ö´Ù.",È¯ÀÚÀÇ Ç÷¿ªÇÐÀû »óÅÂ°¡ ºÒ¾ÈÀú·´ÁÖ°Ô.,,
neutral,"ÀÀ±Þ½Ç°­ Ã³À½ Àé »ýÃ¼ ½ÅÈ£´Â Ã¼¿ÂÀÌ 98.9µµ, ½É¹Ú¼ö´Â 73È¸, Ç÷¾ÐÀº 121/90, È£Èí¼ö´Â 15È¸, ·ë ¿¡¾î »óÅÂ¼­ »ê¼Ò Æ÷È­µµ´Â 98%¿´¼ö´Ù.",È¯ÀÚ°¡ ¾ÆÇÁ´Ù ´À³¢°î ÀÖ¼ö´Ù.,,
entailment,"¿¹¼ø¼Â »ì ¿©ÀÚºÐÀÌ ¸ë ÇØ Àü À§Àå ¿ìÈ¸ ¼ö¼ú ¹Þ¾Ò°í, °íÁöÇ÷ÁõÇÏ°í À§±Ë¾ç ¾ÎÀº º´·Â ÀÖÀº °¡»ó¼­ ¼Óµµ ´À±Ù Â÷ »ç°í¿¡ ¾ôÇôºÎ·¯¼ö´Ù.",È¯ÀÚ´Â ±³Åë»ç°í¿¡ ÈÖ¸»·È¾úÁÖ°Ô.,,
contradiction,"¿¹¼ø¼Â »ì ¿©ÀÚ¶ó, °íÄÝ·¹½ºÅ×·ÑÇ÷ÁõÀÌ¶û À§±Ë¾ç °ú°Å·Âµµ ÀÖ°î ¸î ÇØ Àü¿£ À§Àå ¿ìÈ¸ ¼ö¼úµµ ¹Þ¾Æº» Àû ÀÖ¼ö´Ù, ¿ä±Ù·¡ Àú¼Ó Â÷»ç°í¿¡ ÈÖ¸»·È¼ö´Ù.",È¯ÀÚ´Â º´·Â ¾ø¼ö´Ù.,,
neutral,"¿¹¼ø¼Â »ì ¿©ÀÚ½Åµð, °íÄÝ·¹½ºÅ×·ÑÇ÷ÁõÀÌ¶û À§±Ë¾ç º´·Â ÀÖ´Â È¯ÀÚ¶ó ¸ë ³â Àü À§Àå ¿ìÈ¸ ¼ö¼ú ¹Þ¾Ó½Å Àûµµ ÀÖ¼ö´Ù, ÃÖ±Ù¿¡´Â Àú¼Ó ÀÚµ¿Â÷ »ç°í¿¡ ¿¬·çµÇ¾ú¼ö´Ù.",È¯ÀÚ¿¡°Ô Å« ´ÙÄ£ °Ç ¾ø¼ö´Ù.,,
entailment,È¯ÀÚ´Â ½®³Ý »ì ³²Á¤³×·Î Á¦1Çü ´ç´¢º´ ¶«½Ã ¸»±â ÄáÆÏº´À» ¾Î¾Ó ÀÖ¼ö´Ù°Ô³­ ÀÌ¹ø¿£ ¾Æ³»ÇÑÅ×¼­ ÄáÆÏ ÀÌ½Ä ¹ÞÀ»¶ó²¿ º´¿ø Ã£¾Æ¿Ô¼ö´Ù.,È¯ÀÚ´Â ÀÎ½¶¸° Ä¡·á ¹Þ°í ÀÖ¼ö´Ù.,,
contradiction,"È¯ÀÚ´Â ½®³× »ì ³²¼ºÀÎµð, ÀÏÇü ´ç´¢º´ ¶«½Ã ¸»±â ½ÅÀå ÁúÈ¯À» ¾Î°í ÀÖ¼ö´Ù, ¾Æ³»°Ô¼­ ½ÅÀå ÀÌ½Ä ¹ÞÀ¸·¯ º´¿ø ¿Ô¼ö´Ù.",È¯ÀÚÀÇ ÄáÆÏ ±â´ÉÀº Á¤»óÀÌ¿ì´Ù.,,
neutral,"ÇöÀç ÁúÈ¯ °ú°Å·ÂÀº, È¯ÀÚºÐÀº 1Çü ´ç´¢º´ ¶«½Ã ¸»±â ÄáÆÏº´ °¡Áø 54»ì ³²Á¤³×·Î, ¾ÆÁî¸Á°Ô¼­ ÁÖ´Â ÄáÆÏ ÀÌ½Ä ¹ÞÀ¸°Ô º´¿ø¿¡ ¿Í¼ö´Ù.",È¯ÀÚ´Â ´ç´¢º´¼º ½Å°æº´Áõ ¾Î°í ÀÖ¼ö´Ù.,,
entailment,"º´·Â: [**È¯ÀÚ ¼º**]Àº 33ÁÖ 6ÀÏ µÈ »ç³»¾Ö·Î ½ÖµÕÀÌ Áß µÑÂ°ÀÎ°Ô 2749³â 6¿ù 23ÀÏ ¿ÀÈÄ 3½Ã 7ºÐ¿¡ ÀüÀÚ°ü ¶«½Ã Á¦¿ÕÀý°³ ¼ö¼úÇã¸Û ÅÂ¿©³­¼ö´Ù, ±× ¾î¸ÛÀº 34»ì, ÀÓ½Å 1¹ø, Ãâ»ê 0¹ø, Áö±Ý ÀÚ½Ä µÑ °¡Áø ¿©ÀÚ¿©, [**Name (NI) 2016**]Àº [**2749-8-5**]¿©¼ö´Ù.",È¯ÀÚ´Â Á¶»êµÈ ½ÖµÕÀÌ Áß ÇÑ ¸íÀÌ¿ì´Ù.,,
