gold_label,sentence1_jeju,sentence2_jeju,ai_answer,result
entailment,"응급실에 와서 첨에 재보난 체온은 98.9도고, 심박수는 73번, 혈압은 121에 90, 숨 쉬는 건 15번, 그냥 이신디 재본 산소 포화도는 98% 나와수다.",환자 피 도는 건 괜찮아수다.,,
contradiction,"응급실에 와서 첨 재보난 체온이 98.9도, 심박수 73번, 혈압 121에 90, 숨 쉬는 거 15번, 그냥 이신디 잰 산소 포화도는 98%여수다.",환자 피 도는 게 불안정호다.,,
neutral,"응급실에 와서 첨 재보난 체온은 98.9도고, 심박수는 73번, 혈압은 121에 90, 숨 쉬는 건 15번, 그냥 이신디 잰 산소 포화도는 98%여수다.",환자가 아프덴 햄수다.,,
entailment,"예순세 살 먹은 여자분이신디, 전에 고지혈증이랑 위궤양도 이섯고 몇 년 전에 위장 돌아가는 수술도 헤신디, 천천히 가던 차에 부딪치는 사고가 이서수다.",환자가 차 사고가 나섰수다.,,
contradiction,"예순세 살 먹은 여자분이신디, 전에 고지혈증이랑 위궤양 앓은 적 있고, 몇 년 전에 위장 돌아가는 수술도 헤수다. 요새 천천히 가던 차 사고에 연관되엇수다.",환자는 아팠던 적이 어수다.,,
neutral,"예순세 살 먹은 여자 환자신디, 고지혈증이랑 위궤양 앓았던 적 있고, 몇 년 전에 위장 돌아가는 수술도 헤수다. 요새 천천히 가던 차 사고에 연관되엇수다.",환자는 크게 다친 덴 어수다.,,
entailment,"지금 아픈 거: 환자는 쉰네 살 남자분이신디, 1형 당뇨 땜에 신장이 거의 다 망가져수다. 요번에는 마누라한테 신장 이식 받으레 병원에 와수다.",환자는 인슐린 치료를 받고 이수다.,,
contradiction,"지금 아픈 거: 환자는 쉰네 살 남자분이신디, 1형 당뇨 땜에 신장이 거의 다 망가져 이수다. 환자는 마누라한테 신장 이식 받으레 병원에 와수다.",환자 신장 기능은 괜찮아수다.,,
neutral,"전에 아팠던 거: 환자는 쉰네 살 남자분이신디 1형 당뇨 땜에 신장이 거의 다 망가져서, 마누라한테 신장 이식 받으레 병원에 와수다.",환자는 당뇨 땜에 신경이 아파수다.,,
entailment,"아팠던 거: [**환자 성**]은 33주 6일 된 남자애기, 쌍둥이 중에 둘째로, 2749년 6월 23일 오후 3시 7분에 전자간증 땜에 배 째서 나수다. 그 에미는 서른네 살이고, 첨 밴디 애기 둘 낳은 여자로, [**Name (NI) 2016**]은 [**2749-8-5**]우다.",환자는 일찍 태어난 쌍둥이 중에 하나우다.,,
contradiction,"아팠던 거: [**환자 성**]은 33주 6일 된 남자애기, 쌍둥이 중에 둘째로, [**2749-6-23**] 오후 3시 7분에 나수다. 임신 중독증 땜에 배 째서 낳았고, 에미는 서른네 살, G1, 파라 0, 지금 애기 둘 있는디서 태어나수다. 에미 [**이름 (NI) 2016**]은 [**2749-8-5**]우다.",환자는 달 다 채워수다.,,
neutral,"아팠던 거: [**환자 성**]은 33주 6일 된 남자애기, 쌍둥이 중에 둘째로, [**2749-6-23**] 오후 3시 7분에 전자간증 땜에 배 째서 낳은 애기우다. 그 에미는 서른네 살, 첨 밴디 애기 둘 낳은 여자로, [**Name (NI) 2016**]은 [**2749-8-5**]우다.",환자는 작게 태어나수다.,,
entailment,"그 사람은 머리 아프거나, 토하거나, 속 메슥거리는 건 어시덴 헤수다.",그 사람은 머리 안 아프다 햄수다.,,
contradiction,그 사람은 머리 아프거나 토하거나 속 메슥거리는 거 겪은 적 어시덴 헤수다.,그 사람은 피를 토해수다.,,
neutral,"그 사람은 머리 아프거나, 토하거나, 속 메슥거린 적 어시덴 헤수다.",그 사람은 열 어수다.,,
entailment,"전에 아팠던 거: 인슐린으로 치료받은 2형 당뇨, 위식도 역류 질환, 샤츠키 링, [**2948**]년에 뇌혈관 터져서 남은 왼쪽 반신마비는 쿠마딘으로 치료, 자궁이랑 난소 다 떼는 수술, 말초 혈관 질환, 맹장 뗀 거, [**9-/2953**]년에 심장 혈관 막혀서 관상동맥 우회술. 왼쪽 내흉동맥에서 왼쪽 전방하행동맥으로, 오른쪽 정맥에서 obtuse marginal number one으로, 그리고 방사동맥에서 뒤로 내려가는 동맥으로 이어수다.",환자는 아픈 디가 여러 군데 이수다.,,
contradiction,"전에 아팠던 거: 인슐린으로 치료받은 2형 당뇨, 위식도 역류질환, 샤츠키 링, [**2948**]년에 뇌혈관 터져서 왼쪽 반신마비 온 거 쿠마딘으로 치료했음, 자궁이랑 양쪽 난소 떼는 수술(TAH/BSO), 말초혈관 질환, 맹장 뗀 거, [**9-/2953**]년에 심장 혈관 막혀서 관상동맥 우회술 받은 거, 왼쪽 내흉동맥에서 왼쪽 전방하행동맥으로, 오른쪽 대퇴정맥 이식부에서 obtuse marginal number one으로, 그리고 방사동맥에서 후방하행동맥으로 이어수다.",환자는 아팠던 적이 어수다.,,
neutral,"전에 아팠던 거: 인슐린으로 치료받은 2형 당뇨, 위식도 역류 질환, 샤츠키 링, [**2948**]년에 뇌혈관 터져서 남은 왼쪽 반신마비(쿠마딘으로 치료), 자궁이랑 난소 다 떼는 수술(TAH/BSO), 말초 혈관 질환, 맹장 뗀 거, [**9-/2953**]년에 심장 관상 동맥 막혀서 관상 동맥 우회술로 치료했는데, 왼쪽 내흉동맥에서 왼쪽 전방 하행 동맥으로, 오른쪽 대퇴 정맥 이식으로 obtuse marginal number one으로, 그리고 방사 동맥에서 뒤로 내려가는 동맥으로 이어수다.",환자는 뚱뚱해수다.,,
entailment,"보고서 보난 첨에 QTc는 410이여신디 지금은 475우다. 첨에 QRS는 82여신디 지금은 86이고, 심박수는 95우다.",환자 심전도 결과가 좋게 나와수다.,,
contradiction,"보고서 보난 첨에 QTc는 410이여신디 지금은 475우다. 첨에 QRS는 82여신디 지금은 86이고, 심박수는 95우다.",환자 심전도 결과는 괜찮아수다.,,
neutral,"보고서 보난, 처음 QTc가 410이엇던 ECG가 지금은 475라예. 첨에 QRS는 82엿신디, 지금은 86으로 나왔고, 심박수는 95입주.",환자는 협심증을 앓고 있수다.,,
entailment,"응급실에 왔을 때 T97 환자 혈압은 184/94, 심박수는 92, 호흡수는 24로 나왔고, 그냥 있을 땐 산소포화도가 88%였는디 NRB 쓰난 98%로 올랐수다.",환자는 응급실에서 고혈압이 있었수다.,,
contradiction,"응급실에 왔을 때 T97 혈압은 184/94, 심박수는 92, 호흡수는 24고, 산소 안 썼을 땐 88%였는디 NRB 쓰난 98%로 올랐수다.",환자 생체 신호는 응급실에서 정상이었수다.,,
neutral,"응급실에 왔을 때 T97 혈압 184/94, 심박수 92, 호흡수 24고, 산소 안 썼을 땐 88%에서 NRB 쓰난 98% 됐수다.",환자는 만성폐쇄성폐질환(COPD)을 앓은 적이 있수다.,,
entailment,"비활성화된 부비동염하고 천식, 단순헤르페스바이러스-1 [**2572**]",환자는 헤르페스 바이러스에 걸렸수다.,,
contradiction,"비활성화된 부비동염하고 천식, 단순헤르페스바이러스 1형 [**2572**]",환자는 바이러스에 걸린 적이 어수다.,,
neutral,"비활성화된 부비동염하고 천식, 단순헤르페스바이러스 1형 [**2572**]",환자는 입 주뎅이에 구순 헤르페스가 났수다.,,
entailment,전에 앓았던 병: 2형 당뇨.,환자는 2형 당뇨가 있수다.,,
contradiction,전에 앓았던 병: 2형 당뇨.,환자는 1형 당뇨가 있수다.,,
neutral,전에 앓았던 병: 2형 당뇨.,환자는 인슐린 치료를 받고 있수다.,,
entailment,"그 사람은 첨에는 수술 안 받으려고 했는디, 가슴 아픈 것이 점점 더해지고 있수다.",그 사람 가슴 아픈 것이 점점 더 심해지고 있수다.,,
contradiction,"그 사람은 첨에는 수술 안 받으려고 했는디, 가슴 아픈 것이 점점 더해지고 있수다.",그 사람은 가슴 안 아프다고 합주.,,
neutral,"그 사람은 첨에는 수술 안 받으려고 했는디, 가슴 아픈 것이 점점 더해지고 있수다.",그 사람은 관상동맥 질환이 있수다.,,
entailment,"이 환자는 예순여덟 살 먹은 여자분인디, 전에 만성 다요인성 폐질환 땜에 집에서 산소 2리터짜리 썼고, 태어날 때부터 있던 심장병으로 큰 ASD 수술해서 고쳤수다. 또 폐쇄/제한성 폐질환, 만성 폐색전증, 심한 폐고혈압도 있는디, 그거 치료하려고 실데나필 먹고 있수다. 요즘 들어 숨 쉬는 것이 점점 더 힘들어지고 있수다.",환자 폐기능 검사 결과가 안 좋수다.,,
contradiction,"이 환자는 예순여덟 살 먹은 여자분이고, 만성 다요인 폐질환으로 오랫동안 병원 다닌 적이 있고, 집에서 2리터 산소를 쓰고 있수다. 태어날 때부터 있던 심장병으로 큰 ASD가 있었는디 수술로 고쳤수다. 또 폐쇄성/제한성 폐질환, 만성 폐색전증, 심한 폐고혈압도 앓고 있는디, 이것 땜에 숨 쉬는 것이 점점 힘들어지고 있수다. 폐고혈압 치료하려고 실데나필을 먹고 있수다.",환자는 숨쉬기 힘든 거 어수다.,,
neutral,"이 환자는 예순여덟 살 먹은 여자분이고, 만성 다인자성 폐질환으로 오랫동안 앓았고, 집에서 2리터 산소를 쓰고 있수다. 태어날 때부터 있던 심장병으로 큰 ASD가 있었는디 수술해서 고쳤고, 폐쇄성/제한성 폐질환, 만성 폐색전증, 심한 폐고혈압이 있어서 실데나필을 먹고 있수다. 점점 숨쉬기가 힘들어지고 있수다.",환자 FEV1 수치가 낮수다.,,
entailment,"지금 앓는 병에 대한 이야기: 이 환자는 여든여섯 살 먹은 할망인디, 당뇨, 고혈압, 고지혈증이 있고 기절한 적도 있수다. [**2777-5-24**]에 입원했수다. 요 이틀 동안 말을 더듬고, 오른손으로 뭐 잡는 걸 힘들어했고, 정신이 오락가락했수다.",고혈압하고 고콜레스테롤 앓은 적 있음.,,
contradiction,"지금 앓는 병에 대한 이야기: 이 환자는 여든여섯 살 먹은 할망으로 당뇨, 고혈압, 고지혈증이 있고 기절한 적도 있는디, [**2777-5-24**]에 입원했수다. 지난 이틀 동안 말이 어눌해지고, 오른손으로 잡는 걸 힘들어했고, 정신이 오락가락했수다.",그 할망은 신경 기능은 정상입주.,,
neutral,"지금 병력: 이 환자는 여든여섯 살 먹은 할망인디, 전에 당뇨, 고혈압, 고지혈증 앓았고 기절한 적도 있수다. [**2777-5-24**]에 입원했고, 요 이틀 동안에는 말을 더듬고, 오른손으로 뭐 잡는 거 힘들어하고, 정신이 오락가락했수다.",그 할망은 뇌경색 앓은 적이 있수다.,,
entailment,"그 할망은 가래 섞인 기침을 하는디, 가끔 피가 섞여 나오긴 해도 많이 나오진 않수다.",환자는 폐병이 있수다.,,
contradiction,"그 여자는 가래 썩인 기침을 호고, 어쩌다 피가 베여 나오긴 허는디 피가 많이 나오진 안햄수다.",환자 허파는 괜찮수다.,,
neutral,"그 여자는 가래랑 기침을 허멍, 어쩌다 피가 베여도 피가 많이 나오진 안햄수다.",환자는 폐병 걸렸수다.,,
entailment,"그 남자는 말호고 싶은 건 생각나는디, 그 말이 입에서 잘 안 나왔수다.",환자가 말허는 거를 힘들어햄수다.,,
contradiction,"그 남자는 말호고 싶은 건 생각나는디, 그걸 제대로 말허는 걸 힘들어했수다.",그 남자는 멀쩡히 말 잘 햄수다.,,
neutral,"그 남자는 말호고 싶은 건 생각나는디, 그걸 제대로 말허는 걸 힘들어했수다.",환자는 말허는 데 장애가 있수다.,,
entailment,"여든네 살 먹은 여자 환자인디, [**8-27**]날에 심장동맥우회술(CABG)을 받았고(LIMA-LAD, SVG-OM1), 심부전(CHF)이랑 말기 신부전(ESRD)이 있어가 투석 받고 있구요, 제2형 당뇨병(DMII)이랑 상실성 심방세동(PAF)도 앓고 있수다. 다른 병원에서 심장 카테터 검사 받으래 이리 왔수다.",환자는 여러 가지 병이 있수다.,,
contradiction,"여든네 살 먹은 여자 환자로, [**8-27**]날에 심장동맥우회술(CABG, LIMA-LAD, SVG-OM1) 받은 관상동맥질환(CAD) 환자고, 심부전(CHF)이랑 말기 신부전(ESRD) 때문에 투석 받고 있구요, 제2형 당뇨병(DMII)이랑 막발성 심방세동(PAF)도 앓고 있수다. 다른 병원에서 심장 카테터 검사 받으래 이리 왔수다.",그 여자는 콩팥 기능이 괜찮수다.,,
